id,direction,time,data
87556,Rx,2025-10-30 15:28:45.050,01 02 04 00 00 00 03 B0 38
87557,Tx,2025-10-30 15:28:45.310,01 02 04 06 01 E1 01 CB 00 86 38 04
87558,Rx,2025-10-30 15:28:48.768,02 02 04 00 00 00 03 B0 38
87559,Tx,2025-10-30 15:28:48.995,02 02 04 06 01 E6 01 D5 00 88 6C 06
87560,Rx,2025-10-30 15:28:51.491,01 02 04 00 00 00 03 B0 38
87561,Tx,2025-10-30 15:28:51.828,01 02 04 06 01 F5 01 D3 00 93 49 CF
87562,Rx,2025-10-30 15:28:54.551,02 02 04 00 00 00 03 B0 38
87563,Tx,2025-10-30 15:28:54.947,02 02 04 06 01 E3 01 CA 00 88 91 C0
87564,Rx,2025-10-30 15:28:57.460,01 02 04 00 00 00 03 B0 38
87565,Tx,2025-10-30 15:28:57.774,01 02 04 06 01 D8 01 B9 00 87 C5 DA
87566,Rx,2025-10-30 15:29:00.797,02 02 04 00 00 00 03 B0 38
87567,Tx,2025-10-30 15:29:01.172,02 02 04 06 01 D2 01 C0 00 8C CD C5
87568,Rx,2025-10-30 15:29:03.762,01 02 04 00 00 00 03 B0 38
87569,Tx,2025-10-30 15:29:04.171,01 02 04 06 02 04 01 E5 00 93 D4 27
87570,Rx,2025-10-30 15:29:06.135,02 02 04 00 00 00 03 B0 38
87571,Tx,2025-10-30 15:29:06.455,02 02 04 06 01 F4 01 DD 00 95 95 CE
87572,Rx,2025-10-30 15:29:09.464,01 02 04 00 00 00 03 B0 38
87573,Tx,2025-10-30 15:29:09.964,01 02 04 06 01 E0 01 C0 00 88 F5 C2
87574,Rx,2025-10-30 15:29:12.837,02 02 04 00 00 00 03 B0 38
87575,Tx,2025-10-30 15:29:13.123,02 02 04 06 02 08 01 F0 00 8C 94 2A
87576,Rx,2025-10-30 15:29:15.201,01 02 04 00 00 00 03 B0 38
87577,Tx,2025-10-30 15:29:15.619,01 02 04 06 01 F2 01 CF 00 8D BD C1
87578,Rx,2025-10-30 15:29:18.453,02 02 04 00 00 00 03 B0 38
87579,Tx,2025-10-30 15:29:18.683,02 02 04 06 01 FE 01 E6 00 8E 3C 09
87580,Rx,2025-10-30 15:29:21.382,01 02 04 00 00 00 03 B0 38
87581,Tx,2025-10-30 15:29:21.756,01 02 04 06 02 04 01 EF 00 91 75 E4
87582,Rx,2025-10-30 15:29:24.601,02 02 04 00 00 00 03 B0 38
87583,Tx,2025-10-30 15:29:24.809,02 02 04 06 02 03 01 F0 00 95 F0 21
87584,Rx,2025-10-30 15:29:27.633,01 02 04 00 00 00 03 B0 38
87585,Tx,2025-10-30 15:29:28.113,01 02 04 06 01 FB 01 DE 00 97 B0 0E
87586,Rx,2025-10-30 15:29:30.461,02 02 04 00 00 00 03 B0 38
87587,Tx,2025-10-30 15:29:30.668,02 02 04 06 02 0D 01 F2 00 98 F9 E5
87588,Rx,2025-10-30 15:29:32.941,01 02 04 00 00 00 03 B0 38
87589,Tx,2025-10-30 15:29:33.219,01 02 04 06 02 16 01 F7 00 98 8D E6
87590,Rx,2025-10-30 15:29:36.819,02 02 04 00 00 00 03 B0 38
87591,Tx,2025-10-30 15:29:37.088,02 02 04 06 02 06 01 E4 00 91 7D E6
87592,Rx,2025-10-30 15:29:39.579,01 02 04 00 00 00 03 B0 38
87593,Tx,2025-10-30 15:29:39.794,01 02 04 06 02 1D 01 FD 00 99 C9 E5
87594,Rx,2025-10-30 15:29:42.814,02 02 04 00 00 00 03 B0 38
87595,Tx,2025-10-30 15:29:43.166,02 02 04 06 02 17 01 F5 00 95 D0 23
87596,Rx,2025-10-30 15:29:45.001,01 02 04 00 00 00 03 B0 38
87597,Tx,2025-10-30 15:29:45.428,01 02 04 06 02 1F 02 07 00 99 90 50
87598,Rx,2025-10-30 15:29:48.437,02 02 04 00 00 00 03 B0 38
87599,Tx,2025-10-30 15:29:48.704,02 02 04 06 01 F8 01 E5 00 91 05 C1
87600,Rx,2025-10-30 15:29:51.862,01 02 04 00 00 00 03 B0 38
87601,Tx,2025-10-30 15:29:52.209,01 02 04 06 02 08 01 EF 00 8F E5 ED
87602,Rx,2025-10-30 15:29:54.667,02 02 04 00 00 00 03 B0 38
87603,Tx,2025-10-30 15:29:54.886,02 02 04 06 02 2B 02 12 00 90 F0 56
87604,Rx,2025-10-30 15:29:57.025,01 02 04 00 00 00 03 B0 38
87605,Tx,2025-10-30 15:29:57.376,01 02 04 06 02 32 02 0E 00 9D ED 97
87606,Rx,2025-10-30 15:30:00.870,02 02 04 00 00 00 03 B0 38
87607,Tx,2025-10-30 15:30:01.353,02 02 04 06 02 1D 01 FF 00 9A 28 24
87608,Rx,2025-10-30 15:30:03.261,01 02 04 00 00 00 03 B0 38
87609,Tx,2025-10-30 15:30:03.609,01 02 04 06 02 29 02 05 00 92 B8 53
87610,Rx,2025-10-30 15:30:06.598,02 02 04 00 00 00 03 B0 38
87611,Tx,2025-10-30 15:30:07.073,02 02 04 06 02 3A 02 15 00 9C BD 91
87612,Rx,2025-10-30 15:30:09.820,01 02 04 00 00 00 03 B0 38
87613,Tx,2025-10-30 15:30:10.079,01 02 04 06 02 14 01 F6 00 9A 24 27
87614,Rx,2025-10-30 15:30:12.049,02 02 04 00 00 00 03 B0 38
87615,Tx,2025-10-30 15:30:12.259,02 02 04 06 02 43 02 1A 00 95 D0 5E
87616,Rx,2025-10-30 15:30:15.770,01 02 04 00 00 00 03 B0 38
87617,Tx,2025-10-30 15:30:16.084,01 02 04 06 02 2D 02 0D 00 97 08 52
87618,Rx,2025-10-30 15:30:18.592,02 02 04 00 00 00 03 B0 38
87619,Tx,2025-10-30 15:30:18.950,02 02 04 06 02 42 02 1A 00 9A AD 9A
87620,Rx,2025-10-30 15:30:21.219,01 02 04 00 00 00 03 B0 38
87621,Tx,2025-10-30 15:30:21.636,01 02 04 06 02 45 02 1F 00 9B C9 9B
87622,Rx,2025-10-30 15:30:24.554,02 02 04 00 00 00 03 B0 38
87623,Tx,2025-10-30 15:30:24.914,02 02 04 06 02 42 02 1A 00 9E AC 59
87624,Rx,2025-10-30 15:30:26.921,01 02 04 00 00 00 03 B0 38
87625,Tx,2025-10-30 15:30:27.415,01 02 04 06 02 41 02 20 00 A0 49 84
87626,Rx,2025-10-30 15:30:30.458,02 02 04 00 00 00 03 B0 38
87627,Tx,2025-10-30 15:30:30.689,02 02 04 06 02 32 02 0A 00 A4 6C 44
87628,Rx,2025-10-30 15:30:33.568,01 02 04 00 00 00 03 B0 38
87629,Tx,2025-10-30 15:30:33.942,01 02 04 06 02 2F 02 08 00 97 61 93
87630,Rx,2025-10-30 15:30:36.558,02 02 04 00 00 00 03 B0 38
87631,Tx,2025-10-30 15:30:36.965,02 02 04 06 02 49 02 2C 00 A5 A8 45
87632,Rx,2025-10-30 15:30:39.862,01 02 04 00 00 00 03 B0 38
87633,Tx,2025-10-30 15:30:40.231,01 02 04 06 02 39 02 1A 00 9F 89 93
87634,Rx,2025-10-30 15:30:42.871,02 02 04 00 00 00 03 B0 38
87635,Tx,2025-10-30 15:30:43.235,02 02 04 06 02 42 02 23 00 9B BC 57
87636,Rx,2025-10-30 15:30:45.381,01 02 04 00 00 00 03 B0 38
87637,Tx,2025-10-30 15:30:45.719,01 02 04 06 02 3D 02 1E 00 A7 38 40
87638,Rx,2025-10-30 15:30:48.399,02 02 04 00 00 00 03 B0 38
87639,Tx,2025-10-30 15:30:48.614,02 02 04 06 02 4B 02 24 00 9F D0 54
87640,Rx,2025-10-30 15:30:50.914,01 02 04 00 00 00 03 B0 38
87641,Tx,2025-10-30 15:30:51.146,01 02 04 06 02 2D 02 16 00 A3 79 82
87642,Rx,2025-10-30 15:30:54.059,02 02 04 00 00 00 03 B0 38
87643,Tx,2025-10-30 15:30:54.509,02 02 04 06 02 59 02 2F 00 A8 58 43
87644,Rx,2025-10-30 15:30:57.894,01 02 04 00 00 00 03 B0 38
87645,Tx,2025-10-30 15:30:58.230,01 02 04 06 02 57 02 31 00 A2 D1 83
87646,Rx,2025-10-30 15:31:00.204,02 02 04 00 00 00 03 B0 38
87647,Tx,2025-10-30 15:31:00.454,02 02 04 06 02 51 02 34 00 A8 C9 85
87648,Rx,2025-10-30 15:31:03.859,01 02 04 00 00 00 03 B0 38
87649,Tx,2025-10-30 15:31:04.145,01 02 04 06 02 47 02 2C 00 A5 C1 84
87650,Rx,2025-10-30 15:31:05.907,02 02 04 00 00 00 03 B0 38
87651,Tx,2025-10-30 15:31:06.238,02 02 04 06 02 5A 02 2F 00 AC 1D 80
87652,Rx,2025-10-30 15:31:09.073,01 02 04 00 00 00 03 B0 38
87653,Tx,2025-10-30 15:31:09.367,01 02 04 06 02 4D 02 31 00 A5 C9 83
87654,Rx,2025-10-30 15:31:12.443,02 02 04 00 00 00 03 B0 38
87655,Tx,2025-10-30 15:31:12.656,02 02 04 06 02 55 02 33 00 A4 89 81
87656,Rx,2025-10-30 15:31:15.571,01 02 04 00 00 00 03 B0 38
87657,Tx,2025-10-30 15:31:16.024,01 02 04 06 02 58 02 3B 00 A0 24 41
87658,Rx,2025-10-30 15:31:18.385,02 02 04 00 00 00 03 B0 38
87659,Tx,2025-10-30 15:31:18.809,02 02 04 06 02 62 02 3B 00 9F BC 54
87660,Rx,2025-10-30 15:31:21.017,01 02 04 00 00 00 03 B0 38
87661,Tx,2025-10-30 15:31:21.233,01 02 04 06 02 6E 02 52 00 A8 3D 9F
87662,Rx,2025-10-30 15:31:24.048,02 02 04 00 00 00 03 B0 38
87663,Tx,2025-10-30 15:31:24.358,02 02 04 06 02 60 02 31 00 AF E5 82
87664,Rx,2025-10-30 15:31:27.466,01 02 04 00 00 00 03 B0 38
87665,Tx,2025-10-30 15:31:27.677,01 02 04 06 02 56 02 31 00 A1 AC 42
87666,Rx,2025-10-30 15:31:30.432,02 02 04 00 00 00 03 B0 38
87667,Tx,2025-10-30 15:31:30.764,02 02 04 06 02 6D 02 51 00 A2 09 98
87668,Rx,2025-10-30 15:31:33.327,01 02 04 00 00 00 03 B0 38
87669,Tx,2025-10-30 15:31:33.824,01 02 04 06 02 82 02 5B 00 AD BC 49
87670,Rx,2025-10-30 15:31:36.098,02 02 04 00 00 00 03 B0 38
87671,Tx,2025-10-30 15:31:36.395,02 02 04 06 02 55 02 39 00 AA 28 47
87672,Rx,2025-10-30 15:31:39.262,01 02 04 00 00 00 03 B0 38
87673,Tx,2025-10-30 15:31:39.722,01 02 04 06 02 62 02 46 00 AB 2D 9B
87674,Rx,2025-10-30 15:31:42.640,02 02 04 00 00 00 03 B0 38
87675,Tx,2025-10-30 15:31:42.867,02 02 04 06 02 72 02 46 00 AB EC 58
87676,Rx,2025-10-30 15:31:44.989,01 02 04 00 00 00 03 B0 38
87677,Tx,2025-10-30 15:31:45.375,01 02 04 06 02 65 02 42 00 B3 D9 90
87678,Rx,2025-10-30 15:31:48.816,02 02 04 00 00 00 03 B0 38
87679,Tx,2025-10-30 15:31:49.077,02 02 04 06 02 90 02 67 00 AC 05 86
87680,Rx,2025-10-30 15:31:50.977,01 02 04 00 00 00 03 B0 38
87681,Tx,2025-10-30 15:31:51.474,01 02 04 06 02 98 02 6B 00 AE A5 85
87682,Rx,2025-10-30 15:31:54.276,02 02 04 00 00 00 03 B0 38
87683,Tx,2025-10-30 15:31:54.580,02 02 04 06 02 97 02 6F 00 A7 70 43
87684,Rx,2025-10-30 15:31:56.998,01 02 04 00 00 00 03 B0 38
87685,Tx,2025-10-30 15:31:57.399,01 02 04 06 02 AA 02 73 00 B1 5D 8E
87686,Rx,2025-10-30 15:32:00.774,02 02 04 00 00 00 03 B0 38
87687,Tx,2025-10-30 15:32:01.266,02 02 04 06 02 9D 02 74 00 AC D9 82
87688,Rx,2025-10-30 15:32:02.921,01 02 04 00 00 00 03 B0 38
87689,Tx,2025-10-30 15:32:03.399,01 02 04 06 02 97 02 6E 00 AF 20 45
87690,Rx,2025-10-30 15:32:06.015,02 02 04 00 00 00 03 B0 38
87691,Tx,2025-10-30 15:32:06.385,02 02 04 06 02 93 02 6E 00 B6 10 4F
87692,Rx,2025-10-30 15:32:09.271,01 02 04 00 00 00 03 B0 38
87693,Tx,2025-10-30 15:32:09.633,01 02 04 06 02 8D 02 63 00 B2 28 4D
87694,Rx,2025-10-30 15:32:12.342,02 02 04 00 00 00 03 B0 38
87695,Tx,2025-10-30 15:32:12.576,02 02 04 06 02 86 02 5E 00 B1 5C 41
87696,Rx,2025-10-30 15:32:15.251,01 02 04 00 00 00 03 B0 38
87697,Tx,2025-10-30 15:32:15.724,01 02 04 06 02 93 02 67 00 AD 80 46
87698,Rx,2025-10-30 15:32:18.356,02 02 04 00 00 00 03 B0 38
87699,Tx,2025-10-30 15:32:18.755,02 02 04 06 02 78 02 56 00 B7 74 55
87700,Rx,2025-10-30 15:32:21.615,01 02 04 00 00 00 03 B0 38
87701,Tx,2025-10-30 15:32:22.030,01 02 04 06 02 89 02 65 00 B9 78 4B
87702,Rx,2025-10-30 15:32:23.956,02 02 04 00 00 00 03 B0 38
87703,Tx,2025-10-30 15:32:24.242,02 02 04 06 02 9C 02 7C 00 B5 A4 4A
87704,Rx,2025-10-30 15:32:27.496,01 02 04 00 00 00 03 B0 38
87705,Tx,2025-10-30 15:32:27.852,01 02 04 06 02 8C 02 5C 00 BA 24 47
87706,Rx,2025-10-30 15:32:30.868,02 02 04 00 00 00 03 B0 38
87707,Tx,2025-10-30 15:32:31.086,02 02 04 06 02 8E 02 64 00 B6 DC 4F
87708,Rx,2025-10-30 15:32:33.382,01 02 04 00 00 00 03 B0 38
87709,Tx,2025-10-30 15:32:33.709,01 02 04 06 02 BE 02 85 00 AF 0D B7
87710,Rx,2025-10-30 15:32:36.182,02 02 04 00 00 00 03 B0 38
87711,Tx,2025-10-30 15:32:36.385,02 02 04 06 02 B8 02 8B 00 BB E4 7B
87712,Rx,2025-10-30 15:32:39.591,01 02 04 00 00 00 03 B0 38
87713,Tx,2025-10-30 15:32:40.066,01 02 04 06 02 97 02 62 00 BD 60 4B
