Rx:0-10:05:00.120-01 0E 3A 00 02 02 BB 01 11
Tx:277-10:07:18.123-01 55 00 00 00 00 00 00 00
Rx:278-10:07:19.640-02 0F 94 01 34 03 0F 01 70
Tx:279-10:07:19.643-02 55 00 00 00 00 00 00 00
Rx:280-10:07:20.910-01 0F 9C 01 25 03 16 01 77
Tx:281-10:07:20.913-01 55 00 00 00 00 00 00 00
Rx:282-10:07:21.120-02 0F A8 01 28 03 14 01 74
Tx:283-10:07:21.123-02 55 00 00 00 00 00 00 00
Rx:284-10:07:22.640-01 0F A9 01 20 03 15 01 74
Tx:285-10:07:22.643-01 55 00 00 00 00 00 00 00
Rx:286-10:07:23.910-02 0F 9D 01 27 03 12 01 75
Tx:287-10:07:23.913-02 55 00 00 00 00 00 00 00
Rx:288-10:07:24.120-01 0F A8 01 1F 03 13 01 79
Tx:289-10:07:24.123-01 55 00 00 00 00 00 00 00
Rx:290-10:07:25.640-02 0F A6 01 36 03 16 01 75
Tx:291-10:07:25.643-02 55 00 00 00 00 00 00 00
Rx:292-10:07:26.910-01 0F AD 01 20 03 11 01 77
Tx:293-10:07:26.913-01 55 00 00 00 00 00 00 00
Rx:294-10:07:27.120-02 0F AC 01 40 03 12 01 75
Tx:295-10:07:27.123-02 55 00 00 00 00 00 00 00
Rx:296-10:07:28.640-01 0F B4 01 36 03 1B 01 79
Tx:297-10:07:28.643-01 55 00 00 00 00 00 00 00
Rx:298-10:07:29.910-02 0F B5 01 21 03 1C 01 77
Tx:299-10:07:29.913-02 55 00 00 00 00 00 00 00
Rx:300-10:07:30.120-01 0F AE 01 22 03 14 01 7A
Tx:301-10:07:30.123-01 55 00 00 00 00 00 00 00
Rx:302-10:07:31.640-02 0F A9 01 20 03 19 01 79
Tx:303-10:07:31.643-02 55 00 00 00 00 00 00 00
Rx:304-10:07:32.910-01 0F B3 01 1C 03 1B 01 7D
Tx:305-10:07:32.913-01 55 00 00 00 00 00 00 00
Rx:306-10:07:33.120-02 0F AB 01 2D 03 16 01 7B
Tx:307-10:07:33.123-02 55 00 00 00 00 00 00 00
Rx:308-10:07:34.640-01 0F AB 01 2D 03 1E 01 81
Tx:309-10:07:34.643-01 55 00 00 00 00 00 00 00
Rx:310-10:07:35.910-02 0F B4 01 34 03 17 01 7C
Tx:311-10:07:35.913-02 55 00 00 00 00 00 00 00
Rx:312-10:07:36.120-01 0F BF 01 3E 03 1A 01 7C
Tx:313-10:07:36.123-01 55 00 00 00 00 00 00 00
Rx:314-10:07:37.640-02 0F BC 01 1E 03 1E 01 82
Tx:315-10:07:37.643-02 55 00 00 00 00 00 00 00
Rx:316-10:07:38.910-01 0F C2 01 40 03 1F 01 84
Tx:317-10:07:38.913-01 55 00 00 00 00 00 00 00
Rx:318-10:07:39.120-02 0F C6 01 40 03 1C 01 82
Tx:319-10:07:39.123-02 55 00 00 00 00 00 00 00
Rx:320-10:07:40.640-01 0F C1 01 1F 03 1B 01 82
Tx:321-10:07:40.643-01 55 00 00 00 00 00 00 00
Rx:322-10:07:41.910-02 0F B6 01 1B 03 1A 01 84
Tx:323-10:07:41.913-02 55 00 00 00 00 00 00 00
Rx:324-10:07:42.120-01 0F BE 01 1E 03 20 01 80
Tx:325-10:07:42.123-01 55 00 00 00 00 00 00 00
Rx:326-10:07:43.640-02 0F C6 01 39 03 1D 01 85
Tx:327-10:07:43.643-02 55 00 00 00 00 00 00 00
Rx:328-10:07:44.910-01 0F C2 01 23 03 24 01 88
Tx:329-10:07:44.913-01 55 00 00 00 00 00 00 00
Rx:330-10:07:45.120-02 0F C5 01 1F 03 21 01 86
Tx:331-10:07:45.123-02 55 00 00 00 00 00 00 00
Rx:332-10:07:46.640-01 0F D0 01 1B 03 1D 01 83
Tx:333-10:07:46.643-01 55 00 00 00 00 00 00 00
Rx:334-10:07:47.910-02 0F C6 01 28 03 1D 01 83
Tx:335-10:07:47.913-02 55 00 00 00 00 00 00 00
Rx:336-10:07:48.120-01 0F D1 01 1B 03 20 01 85
Tx:337-10:07:48.123-01 55 00 00 00 00 00 00 00
Rx:338-10:07:49.640-02 0F CA 01 33 03 27 01 86
Tx:339-10:07:49.643-02 55 00 00 00 00 00 00 00
Rx:340-10:07:50.910-01 0F C6 01 2F 03 26 01 89
Tx:341-10:07:50.913-01 55 00 00 00 00 00 00 00
Rx:342-10:07:51.120-02 0F C8 01 1B 03 23 01 88
Tx:343-10:07:51.123-02 55 00 00 00 00 00 00 00
Rx:344-10:07:52.640-01 0F D0 01 22 03 28 01 87
Tx:345-10:07:52.643-01 55 00 00 00 00 00 00 00
Rx:346-10:07:53.910-02 0F D5 01 20 03 21 01 88
Tx:347-10:07:53.913-02 55 00 00 00 00 00 00 00
Rx:348-10:07:54.120-01 0F D2 01 31 03 22 01 8C
Tx:349-10:07:54.123-01 55 00 00 00 00 00 00 00
Rx:350-10:07:55.640-02 0F D8 01 1A 03 24 01 8E
Tx:351-10:07:55.643-02 55 00 00 00 00 00 00 00
Rx:352-10:07:56.910-01 0F D6 01 18 03 25 01 89
Tx:353-10:07:56.913-01 55 00 00 00 00 00 00 00
Rx:354-10:07:57.120-02 0F DD 01 19 03 23 01 90
Tx:355-10:07:57.123-02 55 00 00 00 00 00 00 00
Rx:356-10:07:58.640-01 0F D3 01 1D 03 28 01 8C
Tx:357-10:07:58.643-01 55 00 00 00 00 00 00 00
Rx:358-10:07:59.910-02 0F DC 01 1A 03 2A 01 8E
Tx:359-10:07:59.913-02 55 00 00 00 00 00 00 00
Rx:360-10:08:00.120-01 0F D1 01 17 03 2B 01 8C
Tx:361-10:08:00.123-01 55 00 00 00 00 00 00 00
Rx:362-10:08:01.640-02 0F DD 01 26 03 29 01 8F
Tx:363-10:08:01.643-02 55 00 00 00 00 00 00 00
Rx:364-10:08:02.910-01 0F DC 01 3C 03 2B 01 90
Tx:365-10:08:02.913-01 55 00 00 00 00 00 00 00
Rx:366-10:08:03.120-02 0F D7 01 27 03 2B 01 8D
Tx:367-10:08:03.123-02 55 00 00 00 00 00 00 00
Rx:368-10:08:04.640-01 0F E2 01 2F 03 30 01 93
Tx:369-10:08:04.643-01 55 00 00 00 00 00 00 00
Rx:370-10:08:05.910-02 0F D9 01 2D 03 29 01 93
Tx:371-10:08:05.913-02 55 00 00 00 00 00 00 00
Rx:372-10:08:06.120-01 0F EA 01 1D 03 2B 01 93
Tx:373-10:08:06.123-01 55 00 00 00 00 00 00 00
Rx:374-10:08:07.640-02 0F DE 01 27 03 2A 01 96
Tx:375-10:08:07.643-02 55 00 00 00 00 00 00 00
Rx:376-10:08:08.910-01 0F E9 01 16 03 2A 01 92
Tx:377-10:08:08.913-01 55 00 00 00 00 00 00 00
Rx:378-10:08:09.120-02 0F E7 01 25 03 2F 01 91
Tx:379-10:08:09.123-02 55 00 00 00 00 00 00 00
Rx:380-10:08:10.640-01 0F DF 01 19 03 33 01 95
Tx:381-10:08:10.643-01 55 00 00 00 00 00 00 00
Rx:382-10:08:11.910-02 0F EF 01 14 03 31 01 94
Tx:383-10:08:11.913-02 55 00 00 00 00 00 00 00
Rx:384-10:08:12.120-01 0F E5 01 37 03 34 01 99
Tx:385-10:08:12.123-01 55 00 00 00 00 00 00 00
Rx:386-10:08:13.640-02 0F EC 01 2A 03 36 01 97
Tx:387-10:08:13.643-02 55 00 00 00 00 00 00 00
Rx:388-10:08:14.910-01 0F EF 01 37 03 2E 01 99
Tx:389-10:08:14.913-01 55 00 00 00 00 00 00 00
Rx:390-10:08:15.120-02 0F E0 01 26 03 36 01 94
Tx:391-10:08:15.123-02 55 00 00 00 00 00 00 00
Rx:392-10:08:16.640-01 0F EB 01 35 03 32 01 96
Tx:393-10:08:16.643-01 55 00 00 00 00 00 00 00
Rx:394-10:08:17.910-02 0F F5 01 13 03 2E 01 99
Tx:395-10:08:17.913-02 55 00 00 00 00 00 00 00
Rx:396-10:08:18.120-01 0F E6 01 24 03 31 01 95
Tx:397-10:08:18.123-01 55 00 00 00 00 00 00 00
Rx:398-10:08:19.640-02 0F E5 01 1C 03 38 01 9D
Tx:399-10:08:19.643-02 55 00 00 00 00 00 00 00
Rx:400-10:08:20.910-01 0F ED 01 39 03 35 01 96
Tx:401-10:08:20.913-01 55 00 00 00 00 00 00 00
Rx:402-10:08:21.120-02 0F EB 01 1B 03 39 01 97
Tx:403-10:08:21.123-02 55 00 00 00 00 00 00 00
Rx:404-10:08:22.640-01 0F F3 01 25 03 35 01 9B
Tx:405-10:08:22.643-01 55 00 00 00 00 00 00 00
Rx:406-10:08:23.910-02 0F F8 01 2D 03 32 01 9A
Tx:407-10:08:23.913-02 55 00 00 00 00 00 00 00
Rx:408-10:08:24.120-01 0F F2 01 16 03 34 01 9D
Tx:409-10:08:24.123-01 55 00 00 00 00 00 00 00
Rx:410-10:08:25.640-02 0F F6 01 28 03 34 01 9E
Tx:411-10:08:25.643-02 55 00 00 00 00 00 00 00
Rx:412-10:08:26.910-01 0F EA 01 2F 03 39 01 A1
Tx:413-10:08:26.913-01 55 00 00 00 00 00 00 00
Rx:414-10:08:27.120-02 0F EA 01 13 03 33 01 9B
Tx:415-10:08:27.123-02 55 00 00 00 00 00 00 00
Rx:416-10:08:28.640-01 0F F9 01 18 03 3B 01 9F
Tx:417-10:08:28.643-01 55 00 00 00 00 00 00 00
