id,active_electric_energy,date,floor,total_apparent_power,MAC,Device
8596600,3679.395,2025-11-14 00:03:25.465956206,1,1.815,03:08:DC:AB:CD:EF,PWR_03
8596601,3679.397,2025-11-14 00:03:28.324016094,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596602,3679.397,2025-11-14 00:03:31.223472378,1,1.775,03:08:DC:AB:CD:EF,PWR_03
8596603,3679.398,2025-11-14 00:03:33.808488383,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596604,3679.4,2025-11-14 00:03:36.927070530,1,1.814,03:08:DC:AB:CD:EF,PWR_03
8596605,3679.4,2025-11-14 00:03:39.645282643,1,1.774,03:08:DC:AB:CD:EF,PWR_03
8596606,3679.4,2025-11-14 00:03:42.576703064,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596607,3679.403,2025-11-14 00:03:45.447411804,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596608,3679.403,2025-11-14 00:03:48.262520117,1,1.82,03:08:DC:AB:CD:EF,PWR_03
8596609,3679.403,2025-11-14 00:03:51.317757960,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596610,3679.407,2025-11-14 00:03:53.931349951,1,1.846,03:08:DC:AB:CD:EF,PWR_03
8596611,3679.407,2025-11-14 00:03:57.110475597,1,1.826,03:08:DC:AB:CD:EF,PWR_03
8596612,3679.407,2025-11-14 00:03:59.732134127,1,1.856,03:08:DC:AB:CD:EF,PWR_03
8596613,3679.41,2025-11-14 00:04:02.524280545,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596614,3679.41,2025-11-14 00:04:05.608569284,1,1.836,03:08:DC:AB:CD:EF,PWR_03
8596615,3679.41,2025-11-14 00:04:08.376086741,1,1.769,03:08:DC:AB:CD:EF,PWR_03
8596616,3679.413,2025-11-14 00:04:11.428058956,1,1.807,03:08:DC:AB:CD:EF,PWR_03
8596617,3679.415,2025-11-14 00:04:14.228057799,1,1.808,03:08:DC:AB:CD:EF,PWR_03
8596618,3679.415,2025-11-14 00:04:17.205736183,1,1.806,03:08:DC:AB:CD:EF,PWR_03
8596619,3679.417,2025-11-14 00:04:19.767665225,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596620,3679.419,2025-11-14 00:04:22.653380637,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596621,3679.419,2025-11-14 00:04:25.599069220,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596622,3679.421,2025-11-14 00:04:28.648630536,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596623,3679.421,2025-11-14 00:04:31.693047497,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596624,3679.422,2025-11-14 00:04:34.348866198,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596625,3679.423,2025-11-14 00:04:37.210434002,1,1.773,03:08:DC:AB:CD:EF,PWR_03
8596626,3679.423,2025-11-14 00:04:40.166020985,1,1.842,03:08:DC:AB:CD:EF,PWR_03
8596627,3679.425,2025-11-14 00:04:42.787163371,1,1.845,03:08:DC:AB:CD:EF,PWR_03
8596628,3679.427,2025-11-14 00:04:45.695712694,1,1.843,03:08:DC:AB:CD:EF,PWR_03
8596629,3679.427,2025-11-14 00:04:48.770448947,1,1.873,03:08:DC:AB:CD:EF,PWR_03
8596630,3679.429,2025-11-14 00:04:51.649088444,1,1.826,03:08:DC:AB:CD:EF,PWR_03
8596631,3679.431,2025-11-14 00:04:54.616494159,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596632,3679.431,2025-11-14 00:04:57.576820907,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596633,3679.432,2025-11-14 00:05:00.600789580,1,1.792,03:08:DC:AB:CD:EF,PWR_03
8596634,3679.433,2025-11-14 00:05:03.416856325,1,1.776,03:08:DC:AB:CD:EF,PWR_03
8596635,3679.433,2025-11-14 00:05:06.168250789,1,1.812,03:08:DC:AB:CD:EF,PWR_03
8596636,3679.435,2025-11-14 00:05:08.984977133,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596637,3679.435,2025-11-14 00:05:11.929828860,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596638,3679.437,2025-11-14 00:05:14.841743486,1,1.827,03:08:DC:AB:CD:EF,PWR_03
8596639,3679.439,2025-11-14 00:05:17.743248424,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596640,3679.439,2025-11-14 00:05:20.818075186,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596641,3679.441,2025-11-14 00:05:23.644126028,1,1.831,03:08:DC:AB:CD:EF,PWR_03
8596642,3679.442,2025-11-14 00:05:26.300966183,1,1.802,03:08:DC:AB:CD:EF,PWR_03
8596643,3679.442,2025-11-14 00:05:29.293797419,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596644,3679.442,2025-11-14 00:05:32.060932737,1,1.849,03:08:DC:AB:CD:EF,PWR_03
8596645,3679.445,2025-11-14 00:05:35.265026951,1,1.822,03:08:DC:AB:CD:EF,PWR_03
8596646,3679.445,2025-11-14 00:05:38.036297702,1,1.804,03:08:DC:AB:CD:EF,PWR_03
8596647,3679.445,2025-11-14 00:05:40.935862121,1,1.854,03:08:DC:AB:CD:EF,PWR_03
8596648,3679.449,2025-11-14 00:05:43.610536600,1,1.837,03:08:DC:AB:CD:EF,PWR_03
8596649,3679.449,2025-11-14 00:05:46.550205059,1,1.864,03:08:DC:AB:CD:EF,PWR_03
8596650,3679.449,2025-11-14 00:05:49.304753238,1,1.829,03:08:DC:AB:CD:EF,PWR_03
8596651,3679.452,2025-11-14 00:05:52.023688029,1,1.808,03:08:DC:AB:CD:EF,PWR_03
8596652,3679.452,2025-11-14 00:05:55.123195866,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596653,3679.452,2025-11-14 00:05:58.012803543,1,1.808,03:08:DC:AB:CD:EF,PWR_03
8596654,3679.454,2025-11-14 00:06:00.768093653,1,1.776,03:08:DC:AB:CD:EF,PWR_03
8596655,3679.455,2025-11-14 00:06:03.659001923,1,1.771,03:08:DC:AB:CD:EF,PWR_03
8596656,3679.455,2025-11-14 00:06:06.667926210,1,1.778,03:08:DC:AB:CD:EF,PWR_03
8596657,3679.457,2025-11-14 00:06:09.575010106,1,1.767,03:08:DC:AB:CD:EF,PWR_03
8596658,3679.459,2025-11-14 00:06:12.145050780,1,1.773,03:08:DC:AB:CD:EF,PWR_03
8596659,3679.459,2025-11-14 00:06:15.165177434,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596660,3679.46,2025-11-14 00:06:18.018157565,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596661,3679.46,2025-11-14 00:06:21.110108233,1,1.785,03:08:DC:AB:CD:EF,PWR_03
8596662,3679.462,2025-11-14 00:06:23.956061302,1,1.796,03:08:DC:AB:CD:EF,PWR_03
8596663,3679.464,2025-11-14 00:06:26.724781363,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596664,3679.464,2025-11-14 00:06:29.597174807,1,1.809,03:08:DC:AB:CD:EF,PWR_03
8596665,3679.467,2025-11-14 00:06:32.433507528,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596666,3679.467,2025-11-14 00:06:35.077345206,1,1.815,03:08:DC:AB:CD:EF,PWR_03
8596667,3679.469,2025-11-14 00:06:38.197827140,1,1.777,03:08:DC:AB:CD:EF,PWR_03
8596668,3679.469,2025-11-14 00:06:40.832742049,1,1.811,03:08:DC:AB:CD:EF,PWR_03
8596669,3679.471,2025-11-14 00:06:43.750504718,1,1.808,03:08:DC:AB:CD:EF,PWR_03
8596670,3679.472,2025-11-14 00:06:46.778562546,1,1.807,03:08:DC:AB:CD:EF,PWR_03
8596671,3679.472,2025-11-14 00:06:49.612718824,1,1.888,03:08:DC:AB:CD:EF,PWR_03
8596672,3679.476,2025-11-14 00:06:52.284178240,1,1.847,03:08:DC:AB:CD:EF,PWR_03
8596673,3679.476,2025-11-14 00:06:55.133868366,1,1.83,03:08:DC:AB:CD:EF,PWR_03
8596674,3679.476,2025-11-14 00:06:58.034614796,1,1.837,03:08:DC:AB:CD:EF,PWR_03
8596675,3679.478,2025-11-14 00:07:01.123329231,1,1.797,03:08:DC:AB:CD:EF,PWR_03
8596676,3679.479,2025-11-14 00:07:03.896720731,1,1.83,03:08:DC:AB:CD:EF,PWR_03
8596677,3679.479,2025-11-14 00:07:06.847877882,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596678,3679.48,2025-11-14 00:07:09.729379538,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596679,3679.482,2025-11-14 00:07:12.646513793,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596680,3679.482,2025-11-14 00:07:15.556189824,1,1.793,03:08:DC:AB:CD:EF,PWR_03
8596681,3679.484,2025-11-14 00:07:18.413816392,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596682,3679.484,2025-11-14 00:07:21.033709414,1,1.832,03:08:DC:AB:CD:EF,PWR_03
8596683,3679.486,2025-11-14 00:07:24.049241294,1,1.802,03:08:DC:AB:CD:EF,PWR_03
8596684,3679.488,2025-11-14 00:07:26.971680304,1,1.789,03:08:DC:AB:CD:EF,PWR_03
8596685,3679.488,2025-11-14 00:07:29.729009733,1,1.838,03:08:DC:AB:CD:EF,PWR_03
8596686,3679.489,2025-11-14 00:07:32.744396065,1,1.814,03:08:DC:AB:CD:EF,PWR_03
8596687,3679.49,2025-11-14 00:07:35.447223872,1,1.817,03:08:DC:AB:CD:EF,PWR_03
8596688,3679.49,2025-11-14 00:07:38.331086731,1,1.816,03:08:DC:AB:CD:EF,PWR_03
8596689,3679.492,2025-11-14 00:07:41.324584341,1,1.82,03:08:DC:AB:CD:EF,PWR_03
8596690,3679.494,2025-11-14 00:07:44.180722969,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596691,3679.494,2025-11-14 00:07:47.420144009,1,1.777,03:08:DC:AB:CD:EF,PWR_03
8596692,3679.494,2025-11-14 00:07:50.202591107,1,1.792,03:08:DC:AB:CD:EF,PWR_03
8596693,3679.498,2025-11-14 00:07:53.073433313,1,1.769,03:08:DC:AB:CD:EF,PWR_03
8596694,3679.498,2025-11-14 00:07:56.271511473,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596695,3679.498,2025-11-14 00:07:58.945934958,1,1.857,03:08:DC:AB:CD:EF,PWR_03
8596696,3679.5,2025-11-14 00:08:01.918600474,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596697,3679.5,2025-11-14 00:08:04.747581905,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596698,3679.5,2025-11-14 00:08:07.528101733,1,1.836,03:08:DC:AB:CD:EF,PWR_03
8596699,3679.502,2025-11-14 00:08:10.278603294,1,1.774,03:08:DC:AB:CD:EF,PWR_03
8596700,3679.504,2025-11-14 00:08:13.166151721,1,1.818,03:08:DC:AB:CD:EF,PWR_03
8596701,3679.504,2025-11-14 00:08:16.264934141,1,1.786,03:08:DC:AB:CD:EF,PWR_03
8596702,3679.506,2025-11-14 00:08:19.173762846,1,1.796,03:08:DC:AB:CD:EF,PWR_03
8596703,3679.508,2025-11-14 00:08:21.646894322,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596704,3679.508,2025-11-14 00:08:24.599901232,1,1.798,03:08:DC:AB:CD:EF,PWR_03
8596705,3679.509,2025-11-14 00:08:27.588539811,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596706,3679.509,2025-11-14 00:08:30.187220586,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596707,3679.51,2025-11-14 00:08:33.193024254,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596708,3679.512,2025-11-14 00:08:36.245107586,1,1.813,03:08:DC:AB:CD:EF,PWR_03
8596709,3679.512,2025-11-14 00:08:38.945078344,1,1.797,03:08:DC:AB:CD:EF,PWR_03
8596710,3679.514,2025-11-14 00:08:41.853396595,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596711,3679.516,2025-11-14 00:08:44.575431107,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596712,3679.516,2025-11-14 00:08:47.681121131,1,1.798,03:08:DC:AB:CD:EF,PWR_03
8596713,3679.516,2025-11-14 00:08:50.321977242,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596714,3679.519,2025-11-14 00:08:53.403030833,1,1.785,03:08:DC:AB:CD:EF,PWR_03
8596715,3679.52,2025-11-14 00:08:56.122243821,1,1.849,03:08:DC:AB:CD:EF,PWR_03
8596716,3679.52,2025-11-14 00:08:59.112458065,1,1.853,03:08:DC:AB:CD:EF,PWR_03
8596717,3679.523,2025-11-14 00:09:01.984044892,1,1.854,03:08:DC:AB:CD:EF,PWR_03
8596718,3679.523,2025-11-14 00:09:04.916819517,1,1.834,03:08:DC:AB:CD:EF,PWR_03
8596719,3679.523,2025-11-14 00:09:07.945783489,1,1.845,03:08:DC:AB:CD:EF,PWR_03
8596720,3679.525,2025-11-14 00:09:10.493980812,1,1.768,03:08:DC:AB:CD:EF,PWR_03
8596721,3679.527,2025-11-14 00:09:13.528107713,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596722,3679.527,2025-11-14 00:09:16.367979731,1,1.786,03:08:DC:AB:CD:EF,PWR_03
8596723,3679.528,2025-11-14 00:09:19.119878865,1,1.838,03:08:DC:AB:CD:EF,PWR_03
8596724,3679.53,2025-11-14 00:09:22.160497992,1,1.835,03:08:DC:AB:CD:EF,PWR_03
8596725,3679.53,2025-11-14 00:09:25.024762899,1,1.818,03:08:DC:AB:CD:EF,PWR_03
8596726,3679.532,2025-11-14 00:09:27.632602499,1,1.834,03:08:DC:AB:CD:EF,PWR_03
8596727,3679.532,2025-11-14 00:09:30.753037330,1,1.817,03:08:DC:AB:CD:EF,PWR_03
8596728,3679.533,2025-11-14 00:09:33.523044764,1,1.789,03:08:DC:AB:CD:EF,PWR_03
8596729,3679.535,2025-11-14 00:09:36.701871875,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596730,3679.535,2025-11-14 00:09:39.276892011,1,1.798,03:08:DC:AB:CD:EF,PWR_03
8596731,3679.537,2025-11-14 00:09:42.235679564,1,1.792,03:08:DC:AB:CD:EF,PWR_03
8596732,3679.538,2025-11-14 00:09:45.077483071,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596733,3679.538,2025-11-14 00:09:48.004582425,1,1.786,03:08:DC:AB:CD:EF,PWR_03
8596734,3679.538,2025-11-14 00:09:50.972152261,1,1.807,03:08:DC:AB:CD:EF,PWR_03
8596735,3679.542,2025-11-14 00:09:53.481420478,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596736,3679.542,2025-11-14 00:09:56.632227987,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596737,3679.542,2025-11-14 00:09:59.476366039,1,1.824,03:08:DC:AB:CD:EF,PWR_03
8596738,3679.545,2025-11-14 00:10:02.359006509,1,1.796,03:08:DC:AB:CD:EF,PWR_03
8596739,3679.545,2025-11-14 00:10:05.083891856,1,1.78,03:08:DC:AB:CD:EF,PWR_03
8596740,3679.545,2025-11-14 00:10:07.727811252,1,1.774,03:08:DC:AB:CD:EF,PWR_03
8596741,3679.546,2025-11-14 00:10:10.783104929,1,1.839,03:08:DC:AB:CD:EF,PWR_03
8596742,3679.548,2025-11-14 00:10:13.766786767,1,1.832,03:08:DC:AB:CD:EF,PWR_03
8596743,3679.548,2025-11-14 00:10:16.316139799,1,1.804,03:08:DC:AB:CD:EF,PWR_03
8596744,3679.55,2025-11-14 00:10:19.399290471,1,1.781,03:08:DC:AB:CD:EF,PWR_03
8596745,3679.552,2025-11-14 00:10:22.271674481,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596746,3679.552,2025-11-14 00:10:25.042829971,1,1.796,03:08:DC:AB:CD:EF,PWR_03
8596747,3679.554,2025-11-14 00:10:27.892170122,1,1.829,03:08:DC:AB:CD:EF,PWR_03
8596748,3679.554,2025-11-14 00:10:30.540034388,1,1.799,03:08:DC:AB:CD:EF,PWR_03
8596749,3679.555,2025-11-14 00:10:33.606346267,1,1.793,03:08:DC:AB:CD:EF,PWR_03
8596750,3679.556,2025-11-14 00:10:36.443306938,1,1.867,03:08:DC:AB:CD:EF,PWR_03
8596751,3679.556,2025-11-14 00:10:39.193258795,1,1.81,03:08:DC:AB:CD:EF,PWR_03
8596752,3679.558,2025-11-14 00:10:42.182218511,1,1.817,03:08:DC:AB:CD:EF,PWR_03
8596753,3679.56,2025-11-14 00:10:45.004678958,1,1.786,03:08:DC:AB:CD:EF,PWR_03
8596754,3679.56,2025-11-14 00:10:47.636259364,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596755,3679.56,2025-11-14 00:10:50.692496476,1,1.804,03:08:DC:AB:CD:EF,PWR_03
8596756,3679.562,2025-11-14 00:10:53.326468305,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596757,3679.564,2025-11-14 00:10:56.184811672,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596758,3679.564,2025-11-14 00:10:59.230311832,1,1.826,03:08:DC:AB:CD:EF,PWR_03
8596759,3679.566,2025-11-14 00:11:01.987576889,1,1.815,03:08:DC:AB:CD:EF,PWR_03
8596760,3679.566,2025-11-14 00:11:05.044860949,1,1.825,03:08:DC:AB:CD:EF,PWR_03
8596761,3679.566,2025-11-14 00:11:07.855975527,1,1.92,03:08:DC:AB:CD:EF,PWR_03
8596762,3679.568,2025-11-14 00:11:10.689688740,1,1.881,03:08:DC:AB:CD:EF,PWR_03
8596763,3679.57,2025-11-14 00:11:13.837361806,1,1.893,03:08:DC:AB:CD:EF,PWR_03
8596764,3679.572,2025-11-14 00:11:16.506556081,1,1.899,03:08:DC:AB:CD:EF,PWR_03
8596765,3679.574,2025-11-14 00:11:19.345273990,1,1.846,03:08:DC:AB:CD:EF,PWR_03
8596766,3679.576,2025-11-14 00:11:22.332672454,1,1.798,03:08:DC:AB:CD:EF,PWR_03
8596767,3679.576,2025-11-14 00:11:25.195269623,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596768,3679.577,2025-11-14 00:11:27.986699386,1,1.805,03:08:DC:AB:CD:EF,PWR_03
8596769,3679.578,2025-11-14 00:11:30.666948909,1,1.775,03:08:DC:AB:CD:EF,PWR_03
8596770,3679.578,2025-11-14 00:11:33.447084785,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596771,3679.58,2025-11-14 00:11:36.631843201,1,1.774,03:08:DC:AB:CD:EF,PWR_03
8596772,3679.58,2025-11-14 00:11:39.419882801,1,1.847,03:08:DC:AB:CD:EF,PWR_03
8596773,3679.582,2025-11-14 00:11:42.062282348,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596774,3679.584,2025-11-14 00:11:44.961191406,1,1.796,03:08:DC:AB:CD:EF,PWR_03
8596775,3679.584,2025-11-14 00:11:47.912780182,1,1.797,03:08:DC:AB:CD:EF,PWR_03
8596776,3679.584,2025-11-14 00:11:50.670391055,1,1.794,03:08:DC:AB:CD:EF,PWR_03
8596777,3679.587,2025-11-14 00:11:53.680296589,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596778,3679.587,2025-11-14 00:11:56.326380289,1,1.775,03:08:DC:AB:CD:EF,PWR_03
8596779,3679.587,2025-11-14 00:11:59.302627087,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596780,3679.59,2025-11-14 00:12:02.066019035,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596781,3679.59,2025-11-14 00:12:05.090258613,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596782,3679.59,2025-11-14 00:12:07.694978661,1,1.786,03:08:DC:AB:CD:EF,PWR_03
8596783,3679.592,2025-11-14 00:12:10.745056738,1,1.797,03:08:DC:AB:CD:EF,PWR_03
8596784,3679.594,2025-11-14 00:12:13.391834921,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596785,3679.594,2025-11-14 00:12:16.452528353,1,1.792,03:08:DC:AB:CD:EF,PWR_03
8596786,3679.595,2025-11-14 00:12:19.345532649,1,1.795,03:08:DC:AB:CD:EF,PWR_03
