id,direction,time,data
87752,Rx,2025-10-30 15:33:38.972,01 02 04 00 00 00 03 B0 38
87753,Tx,2025-10-30 15:33:39.457,01 02 04 06 02 C4 02 8A 00 C3 E4 53
87754,Rx,2025-10-30 15:33:42.550,02 02 04 00 00 00 03 B0 38
87755,Tx,2025-10-30 15:33:42.878,02 02 04 06 02 C9 02 A0 00 C0 A8 5B
87756,Rx,2025-10-30 15:33:45.065,01 02 04 00 00 00 03 B0 38
87757,Tx,2025-10-30 15:33:45.311,01 02 04 06 02 CD 02 8F 00 CB 29 95
87758,Rx,2025-10-30 15:33:47.931,02 02 04 00 00 00 03 B0 38
87759,Tx,2025-10-30 15:33:48.183,02 02 04 06 02 D5 02 A1 00 C5 E8 5A
87760,Rx,2025-10-30 15:33:50.987,01 02 04 00 00 00 03 B0 38
87761,Tx,2025-10-30 15:33:51.444,01 02 04 06 02 CF 02 A0 00 CC 20 5E
87762,Rx,2025-10-30 15:33:54.034,02 02 04 00 00 00 03 B0 38
87763,Tx,2025-10-30 15:33:54.327,02 02 04 06 02 CD 02 95 00 CC 49 90
87764,Rx,2025-10-30 15:33:57.056,01 02 04 00 00 00 03 B0 38
87765,Tx,2025-10-30 15:33:57.540,01 02 04 06 02 DE 02 A5 00 C7 8D 9B
87766,Rx,2025-10-30 15:34:00.004,02 02 04 00 00 00 03 B0 38
87767,Tx,2025-10-30 15:34:00.362,02 02 04 06 02 E2 02 B8 00 C1 CD 9A
87768,Rx,2025-10-30 15:34:03.082,01 02 04 00 00 00 03 B0 38
87769,Tx,2025-10-30 15:34:03.470,01 02 04 06 02 C8 02 97 00 D0 25 99
87770,Rx,2025-10-30 15:34:06.150,02 02 04 00 00 00 03 B0 38
87771,Tx,2025-10-30 15:34:06.582,02 02 04 06 03 07 02 C5 00 CC D0 40
87772,Rx,2025-10-30 15:34:09.826,01 02 04 00 00 00 03 B0 38
87773,Tx,2025-10-30 15:34:10.096,01 02 04 06 02 F0 02 C3 00 C6 44 42
87774,Rx,2025-10-30 15:34:11.965,02 02 04 00 00 00 03 B0 38
87775,Tx,2025-10-30 15:34:12.395,02 02 04 06 02 FF 02 CA 00 C3 00 42
87776,Rx,2025-10-30 15:34:15.299,01 02 04 00 00 00 03 B0 38
87777,Tx,2025-10-30 15:34:15.777,01 02 04 06 03 02 02 CE 00 C9 AD 81
87778,Rx,2025-10-30 15:34:18.109,02 02 04 00 00 00 03 B0 38
87779,Tx,2025-10-30 15:34:18.457,02 02 04 06 03 0C 02 C8 00 CE 65 83
87780,Rx,2025-10-30 15:34:21.143,01 02 04 00 00 00 03 B0 38
87781,Tx,2025-10-30 15:34:21.589,01 02 04 06 02 D1 02 A7 00 CD F8 5D
87782,Rx,2025-10-30 15:34:24.240,02 02 04 00 00 00 03 B0 38
87783,Tx,2025-10-30 15:34:24.704,02 02 04 06 03 0E 02 CE 00 D1 BD 8A
87784,Rx,2025-10-30 15:34:26.906,01 02 04 00 00 00 03 B0 38
87785,Tx,2025-10-30 15:34:27.378,01 02 04 06 02 DC 02 AD 00 D3 75 96
87786,Rx,2025-10-30 15:34:30.588,02 02 04 00 00 00 03 B0 38
87787,Tx,2025-10-30 15:34:30.889,02 02 04 06 02 F4 02 B4 00 D6 04 54
87788,Rx,2025-10-30 15:34:32.917,01 02 04 00 00 00 03 B0 38
87789,Tx,2025-10-30 15:34:33.177,01 02 04 06 02 EE 02 AC 00 C9 9C 59
87790,Rx,2025-10-30 15:34:36.108,02 02 04 00 00 00 03 B0 38
87791,Tx,2025-10-30 15:34:36.446,02 02 04 06 03 0A 02 CF 00 D4 DD 89
87792,Rx,2025-10-30 15:34:39.259,01 02 04 00 00 00 03 B0 38
87793,Tx,2025-10-30 15:34:39.463,01 02 04 06 03 0E 02 C9 00 D7 8C 49
87794,Rx,2025-10-30 15:34:42.100,02 02 04 00 00 00 03 B0 38
87795,Tx,2025-10-30 15:34:42.479,02 02 04 06 03 09 02 C7 00 D3 59 89
87796,Rx,2025-10-30 15:34:45.841,01 02 04 00 00 00 03 B0 38
87797,Tx,2025-10-30 15:34:46.134,01 02 04 06 03 13 02 CE 00 D7 D1 8A
87798,Rx,2025-10-30 15:34:47.924,02 02 04 00 00 00 03 B0 38
87799,Tx,2025-10-30 15:34:48.322,02 02 04 06 02 F3 02 B3 00 CC 81 9E
87800,Rx,2025-10-30 15:34:50.915,01 02 04 00 00 00 03 B0 38
87801,Tx,2025-10-30 15:34:51.355,01 02 04 06 03 0A 02 C7 00 CB 1D 83
87802,Rx,2025-10-30 15:34:54.358,02 02 04 00 00 00 03 B0 38
87803,Tx,2025-10-30 15:34:54.836,02 02 04 06 03 09 02 CF 00 D0 98 4A
87804,Rx,2025-10-30 15:34:56.918,01 02 04 00 00 00 03 B0 38
87805,Tx,2025-10-30 15:34:57.166,01 02 04 06 02 F1 02 BE 00 CE E8 5C
87806,Rx,2025-10-30 15:35:00.338,02 02 04 00 00 00 03 B0 38
87807,Tx,2025-10-30 15:35:00.739,02 02 04 06 02 EE 02 C0 00 D6 1D 8C
87808,Rx,2025-10-30 15:35:02.904,01 02 04 00 00 00 03 B0 38
87809,Tx,2025-10-30 15:35:03.129,01 02 04 06 03 04 02 CA 00 D4 A4 49
87810,Rx,2025-10-30 15:35:05.946,02 02 04 00 00 00 03 B0 38
87811,Tx,2025-10-30 15:35:06.445,02 02 04 06 03 15 02 DC 00 DD 79 88
87812,Rx,2025-10-30 15:35:09.316,01 02 04 00 00 00 03 B0 38
87813,Tx,2025-10-30 15:35:09.582,01 02 04 06 03 0B 02 C4 00 D8 91 8E
87814,Rx,2025-10-30 15:35:12.143,02 02 04 00 00 00 03 B0 38
87815,Tx,2025-10-30 15:35:12.425,02 02 04 06 02 FB 02 CA 00 D2 31 8E
87816,Rx,2025-10-30 15:35:15.182,01 02 04 00 00 00 03 B0 38
87817,Tx,2025-10-30 15:35:15.674,01 02 04 06 03 12 02 DD 00 D2 DD 8C
87818,Rx,2025-10-30 15:35:17.968,02 02 04 00 00 00 03 B0 38
87819,Tx,2025-10-30 15:35:18.322,02 02 04 06 03 08 02 C5 00 D3 C5 89
87820,Rx,2025-10-30 15:35:21.714,01 02 04 00 00 00 03 B0 38
87821,Tx,2025-10-30 15:35:22.011,01 02 04 06 02 FC 02 C4 00 E0 64 58
87822,Rx,2025-10-30 15:35:24.519,02 02 04 00 00 00 03 B0 38
87823,Tx,2025-10-30 15:35:24.872,02 02 04 06 03 06 02 D3 00 DD CC 48
87824,Rx,2025-10-30 15:35:27.378,01 02 04 00 00 00 03 B0 38
87825,Tx,2025-10-30 15:35:27.597,01 02 04 06 03 27 02 EA 00 DC 61 82
87826,Rx,2025-10-30 15:35:30.026,02 02 04 00 00 00 03 B0 38
87827,Tx,2025-10-30 15:35:30.252,02 02 04 06 03 2A 02 F1 00 DE BD 85
87828,Rx,2025-10-30 15:35:33.000,01 02 04 00 00 00 03 B0 38
87829,Tx,2025-10-30 15:35:33.258,01 02 04 06 03 15 02 E6 00 D6 18 42
87830,Rx,2025-10-30 15:35:36.866,02 02 04 00 00 00 03 B0 38
87831,Tx,2025-10-30 15:35:37.208,02 02 04 06 03 0A 02 D5 00 DD 3C 48
87832,Rx,2025-10-30 15:35:39.003,01 02 04 00 00 00 03 B0 38
87833,Tx,2025-10-30 15:35:39.433,01 02 04 06 03 0C 02 D6 00 E2 04 58
87834,Rx,2025-10-30 15:35:41.939,02 02 04 00 00 00 03 B0 38
87835,Tx,2025-10-30 15:35:42.315,02 02 04 06 03 30 02 FB 00 D9 85 87
87836,Rx,2025-10-30 15:35:45.020,01 02 04 00 00 00 03 B0 38
87837,Tx,2025-10-30 15:35:45.421,01 02 04 06 03 37 02 F9 00 E5 91 96
87838,Rx,2025-10-30 15:35:48.720,02 02 04 00 00 00 03 B0 38
87839,Tx,2025-10-30 15:35:49.117,02 02 04 06 03 29 02 E2 00 E4 88 53
87840,Rx,2025-10-30 15:35:51.159,01 02 04 00 00 00 03 B0 38
87841,Tx,2025-10-30 15:35:51.449,01 02 04 06 03 38 02 F7 00 DE E5 87
87842,Rx,2025-10-30 15:35:54.002,02 02 04 00 00 00 03 B0 38
87843,Tx,2025-10-30 15:35:54.390,02 02 04 06 03 1A 02 D5 00 E6 BC 58
87844,Rx,2025-10-30 15:35:57.888,01 02 04 00 00 00 03 B0 38
87845,Tx,2025-10-30 15:35:58.237,01 02 04 06 03 3E 02 F1 00 E1 CD 96
87846,Rx,2025-10-30 15:36:00.453,02 02 04 00 00 00 03 B0 38
87847,Tx,2025-10-30 15:36:00.903,02 02 04 06 03 33 02 EA 00 DA D1 83
87848,Rx,2025-10-30 15:36:03.044,01 02 04 00 00 00 03 B0 38
87849,Tx,2025-10-30 15:36:03.311,01 02 04 06 03 1C 02 E0 00 DF E4 44
87850,Rx,2025-10-30 15:36:05.998,02 02 04 00 00 00 03 B0 38
87851,Tx,2025-10-30 15:36:06.257,02 02 04 06 03 4D 03 04 00 E9 D8 55
87852,Rx,2025-10-30 15:36:09.098,01 02 04 00 00 00 03 B0 38
87853,Tx,2025-10-30 15:36:09.317,01 02 04 06 03 13 02 D5 00 DC E0 4A
87854,Rx,2025-10-30 15:36:12.049,02 02 04 00 00 00 03 B0 38
87855,Tx,2025-10-30 15:36:12.475,02 02 04 06 03 16 02 DD 00 EC AD 9C
87856,Rx,2025-10-30 15:36:15.163,01 02 04 00 00 00 03 B0 38
87857,Tx,2025-10-30 15:36:15.450,01 02 04 06 03 3D 02 F8 00 E8 99 92
87858,Rx,2025-10-30 15:36:18.284,02 02 04 00 00 00 03 B0 38
87859,Tx,2025-10-30 15:36:18.774,02 02 04 06 03 50 03 09 00 E2 E4 53
87860,Rx,2025-10-30 15:36:21.513,01 02 04 00 00 00 03 B0 38
87861,Tx,2025-10-30 15:36:21.869,01 02 04 06 03 49 02 FC 00 E6 E9 9C
87862,Rx,2025-10-30 15:36:24.482,02 02 04 00 00 00 03 B0 38
87863,Tx,2025-10-30 15:36:24.827,02 02 04 06 03 32 02 F3 00 ED 7C 52
87864,Rx,2025-10-30 15:36:26.999,01 02 04 00 00 00 03 B0 38
87865,Tx,2025-10-30 15:36:27.249,01 02 04 06 03 35 02 FF 00 E5 08 57
87866,Rx,2025-10-30 15:36:30.699,02 02 04 00 00 00 03 B0 38
87867,Tx,2025-10-30 15:36:30.932,02 02 04 06 03 2E 02 E8 00 EE 9D 96
87868,Rx,2025-10-30 15:36:32.926,01 02 04 00 00 00 03 B0 38
87869,Tx,2025-10-30 15:36:33.306,01 02 04 06 03 3B 02 F2 00 E4 31 95
87870,Rx,2025-10-30 15:36:36.590,02 02 04 00 00 00 03 B0 38
87871,Tx,2025-10-30 15:36:37.041,02 02 04 06 03 22 02 E5 00 E4 9C 53
87872,Rx,2025-10-30 15:36:39.795,01 02 04 00 00 00 03 B0 38
87873,Tx,2025-10-30 15:36:40.206,01 02 04 06 03 45 03 01 00 E6 69 91
87874,Rx,2025-10-30 15:36:42.408,02 02 04 00 00 00 03 B0 38
87875,Tx,2025-10-30 15:36:42.727,02 02 04 06 03 35 02 F8 00 E6 F9 97
87876,Rx,2025-10-30 15:36:44.983,01 02 04 00 00 00 03 B0 38
87877,Tx,2025-10-30 15:36:45.329,01 02 04 06 03 33 02 F2 00 E7 90 55
87878,Rx,2025-10-30 15:36:48.076,02 02 04 00 00 00 03 B0 38
87879,Tx,2025-10-30 15:36:48.375,02 02 04 06 03 41 02 F3 00 E6 38 5E
87880,Rx,2025-10-30 15:36:51.806,01 02 04 00 00 00 03 B0 38
87881,Tx,2025-10-30 15:36:52.203,01 02 04 06 03 47 03 05 00 F2 51 9F
87882,Rx,2025-10-30 15:36:54.147,02 02 04 00 00 00 03 B0 38
87883,Tx,2025-10-30 15:36:54.532,02 02 04 06 03 4F 03 10 00 EF 61 93
87884,Rx,2025-10-30 15:36:57.371,01 02 04 00 00 00 03 B0 38
87885,Tx,2025-10-30 15:36:57.582,01 02 04 06 03 38 02 ED 00 EE C4 54
87886,Rx,2025-10-30 15:37:00.292,02 02 04 00 00 00 03 B0 38
87887,Tx,2025-10-30 15:37:00.511,02 02 04 06 03 37 02 EF 00 F5 71 9E
87888,Rx,2025-10-30 15:37:03.690,01 02 04 00 00 00 03 B0 38
87889,Tx,2025-10-30 15:37:03.944,01 02 04 06 03 4A 03 01 00 F5 7C 5D
87890,Rx,2025-10-30 15:37:06.325,02 02 04 00 00 00 03 B0 38
87891,Tx,2025-10-30 15:37:06.719,02 02 04 06 03 52 03 11 00 E9 5C 53
87892,Rx,2025-10-30 15:37:09.452,01 02 04 00 00 00 03 B0 38
87893,Tx,2025-10-30 15:37:09.661,01 02 04 06 03 54 03 03 00 F5 75 9F
87894,Rx,2025-10-30 15:37:12.133,02 02 04 00 00 00 03 B0 38
87895,Tx,2025-10-30 15:37:12.477,02 02 04 06 03 47 02 FB 00 EE 30 5A
87896,Rx,2025-10-30 15:37:15.248,01 02 04 00 00 00 03 B0 38
87897,Tx,2025-10-30 15:37:15.466,01 02 04 06 03 45 03 01 00 EE 68 57
87898,Rx,2025-10-30 15:37:18.172,02 02 04 00 00 00 03 B0 38
87899,Tx,2025-10-30 15:37:18.384,02 02 04 06 03 60 03 1C 00 F2 B4 5F
87900,Rx,2025-10-30 15:37:20.908,01 02 04 00 00 00 03 B0 38
87901,Tx,2025-10-30 15:37:21.339,01 02 04 06 03 3F 02 F7 00 F6 50 59
87902,Rx,2025-10-30 15:37:24.392,02 02 04 00 00 00 03 B0 38
87903,Tx,2025-10-30 15:37:24.747,02 02 04 06 03 3F 02 FD 00 EE 70 51
87904,Rx,2025-10-30 15:37:27.510,01 02 04 00 00 00 03 B0 38
87905,Tx,2025-10-30 15:37:27.713,01 02 04 06 03 46 03 00 00 F7 BC 5D
87906,Rx,2025-10-30 15:37:30.137,02 02 04 00 00 00 03 B0 38
87907,Tx,2025-10-30 15:37:30.509,02 02 04 06 03 4C 02 FA 00 EC 45 9A
87908,Rx,2025-10-30 15:37:33.823,01 02 04 00 00 00 03 B0 38
87909,Tx,2025-10-30 15:37:34.278,01 02 04 06 03 67 03 14 00 F1 C0 5C
87910,Rx,2025-10-30 15:37:35.896,02 02 04 00 00 00 03 B0 38
87911,Tx,2025-10-30 15:37:36.239,02 02 04 06 03 54 03 07 00 F4 F5 9E
87912,Rx,2025-10-30 15:37:39.827,01 02 04 00 00 00 03 B0 38
87913,Tx,2025-10-30 15:37:40.049,01 02 04 06 03 47 03 0F 00 F7 B1 9E
